November 7 2018,Kennesaw State,Home,Oglethorpe,68
November 7 2018,Ohio State,Away,Cincinnati,64
November 7 2018,Cincinnati,Home,Ohio State,56
November 7 2018,Savannah State,Away,Texas A&M,83
November 7 2018,Texas A&M,Home,Savannah State,98
November 7 2018,St. Edward's,Away,UTSA,77
November 7 2018,UTSA,Home,St. Edward's,76
November 7 2018,Washington Adventist,Away,Howard,91
November 7 2018,Howard,Home,Washington Adventist,115
November 7 2018,Webber,Away,Florida International,84
November 7 2018,Florida International,Home,Webber,110
November 7 2018,Western Carolina,Away,Wright State,73
November 7 2018,Wright State,Home,Western Carolina,96
November 7 2018,Wilberforce,Away,Ohio,61
November 7 2018,Ohio,Home,Wilberforce,97
November 7 2018,Wisconsin-Parkside,Away,Bradley,58
November 7 2018,Bradley,Home,Wisconsin-Parkside,74
November 7 2018,York (NE),Away,South Dakota,58
November 7 2018,South Dakota,Home,York (NE),83
November 8 2018,Alabama State,Away,South Dakota State,61
November 8 2018,South Dakota State,Home,Alabama State,78
November 8 2018,Buena Vista,Away,Drake,52
November 8 2018,Drake,Home,Buena Vista,98
November 8 2018,Chicago State,Away,Notre Dame,62
November 8 2018,Notre Dame,Home,Chicago State,89
November 8 2018,Earlham,Away,Purdue-Fort Wayne,51
November 8 2018,Purdue-Fort Wayne,Home,Earlham,112
November 8 2018,Evansville,Away,Illinois,60
November 8 2018,Illinois,Home,Evansville,99
November 8 2018,Hendrix,Away,Central Arkansas,73
November 8 2018,Central Arkansas,Home,Hendrix,99
November 8 2018,Hiwassee,Away,ETSU,44
November 8 2018,ETSU,Home,Hiwassee,109
November 8 2018,Maine,Away,Utah,61
November 8 2018,Utah,Home,Maine,75
November 8 2018,Maine-Fort Kent,Away,Liberty,40
November 8 2018,Liberty,Home,Maine-Fort Kent,89
November 8 2018,Mid-Atlantic Christian,Away,Norfolk State,50
November 8 2018,Norfolk State,Home,Mid-Atlantic Christian,108
November 8 2018,UMKC,Away,Iowa,63
November 8 2018,Iowa,Home,UMKC,77
November 8 2018,Morehead State,Away,UConn,70
November 8 2018,UConn,Home,Morehead State,80
November 8 2018,New Orleans,Away,Northwestern,52
November 8 2018,Northwestern,Home,New Orleans,82
November 8 2018,Nicholls State,Away,Louisville,72
November 8 2018,Louisville,Home,Nicholls State,85
November 8 2018,Northwestern State,Away,SMU,58
November 8 2018,SMU,Home,Northwestern State,69
November 8 2018,Puget Sound,Away,Seattle,67
November 8 2018,Seattle,Home,Puget Sound,95
November 8 2018,Siena,Away,George Washington,69
November 8 2018,George Washington,Home,Siena,61
November 8 2018,Southeastern,Away,Florida Gulf Coast,54
November 8 2018,Florida Gulf Coast,Home,Southeastern,81
